"","samples","mean","upper","lower","rel","der","Strata","locality","sv"
"36",8,0.087799774815868,0.0930527560860962,0.0796034190177858,55.7691729165896,3.193,"midtide","Gandoca-Manzanillo","samples"
"37",9,0.082772755511758,0.0859108248685209,0.0762487001490379,52.5760814831105,2.351,"midtide","Gandoca-Manzanillo","samples"
"38",10,0.079070722846185,0.0852389430648251,0.0734487638313128,50.2246027885217,3.186,"midtide","Gandoca-Manzanillo","samples"
"39",11,0.0740543202657155,0.0798318105510831,0.0685848549002336,47.0382549474693,1.599,"midtide","Gandoca-Manzanillo","samples"
"40",12,0.0715370371303438,0.0753588858734692,0.0682503157559324,45.4393123675939,1.716,"midtide","Gandoca-Manzanillo","samples"
"41",13,0.0688357578507015,0.071596826599553,0.0661472713574761,43.7234980439432,2.095,"midtide","Gandoca-Manzanillo","samples"
"42",14,0.0655372197145873,0.0681711249638612,0.0621844609123004,41.6283133573001,1.163,"midtide","Gandoca-Manzanillo","samples"
"43",15,0.0637061738252536,0.0670121005407764,0.0593294830664449,40.4652589527232,1.206,"midtide","Gandoca-Manzanillo","samples"
"44",16,0.0618070877317378,0.0637380847011098,0.0583069764285663,39.2589863745202,0.728,"midtide","Gandoca-Manzanillo","samples"
"45",17,0.0606607780782812,0.0639222328854318,0.0581681737972323,38.5308667248554,1.835,"midtide","Gandoca-Manzanillo","samples"
"46",18,0.0577721898042833,0.0609357341338281,0.0549817109568319,36.6960763819957,0.824,"midtide","Gandoca-Manzanillo","samples"
"47",19,0.05647502928531,0.0586416740737474,0.0537834986514281,35.8721383999802,0.71,"midtide","Gandoca-Manzanillo","samples"
"48",20,0.0553575631677814,0.0588477967500018,0.0525454091982668,35.1623397556491,1.046,"midtide","Gandoca-Manzanillo","samples"
"49",21,0.0537104643745252,0.0554471420018307,0.0501877941361932,34.1161259401301,0.635,"midtide","Gandoca-Manzanillo","samples"
"50",22,0.0527113278445121,0.0546910709390004,0.0500820454609778,33.4814885731615,0.845,"midtide","Gandoca-Manzanillo","samples"
"51",23,0.0513804025818058,0.0533997034147519,0.0491588872041181,32.636103704344,0.913,"midtide","Gandoca-Manzanillo","samples"
"52",24,0.0499434255171375,0.0512288476739613,0.0484364663311354,31.7233562335819,0.292,"midtide","Gandoca-Manzanillo","samples"
"53",25,0.0494835965386193,0.050703750854435,0.0479439964215224,31.4312793818039,0.549,"midtide","Gandoca-Manzanillo","samples"
"54",26,0.0486197248405977,0.0503768254849032,0.0468876271590131,30.8825603195312,0.588,"midtide","Gandoca-Manzanillo","samples"
"55",27,0.0476943731051313,0.0486029148227639,0.0460916965683332,30.2947900085923,0.524,"midtide","Gandoca-Manzanillo","samples"
"56",28,0.0468693728298964,0.0487899900187488,0.0455168363108734,29.7707615232995,0.585,"midtide","Gandoca-Manzanillo","samples"
"57",29,0.0459487963733847,0.047450017039077,0.0443942160917007,29.186024401891,0.604,"midtide","Gandoca-Manzanillo","samples"
"58",30,0.0449977310083476,0.0471522099753203,0.0433196121780708,28.5819211577885,NA,"midtide","Gandoca-Manzanillo","samples"
"59",2,0.209316528633607,0.237849177455197,0.185137242422154,100,19.591,"lowtide","Gandoca-Manzanillo","samples"
"60",3,0.168308964605571,0.185269361338006,0.148737535170317,80.4088266245727,10.199,"lowtide","Gandoca-Manzanillo","samples"
"61",4,0.146960483913737,0.163294969995709,0.134033126724261,70.2096890642496,6.691,"lowtide","Gandoca-Manzanillo","samples"
"62",5,0.132955275535856,0.142204360714596,0.121346329746111,63.5187657676972,5.973,"lowtide","Gandoca-Manzanillo","samples"
"63",6,0.120452425118082,0.126642074927888,0.110155041447046,57.5455870133051,3.529,"lowtide","Gandoca-Manzanillo","samples"
"64",7,0.113066209116217,0.120887693734458,0.103819468093957,54.0168566019606,3.725,"lowtide","Gandoca-Manzanillo","samples"
"65",8,0.105269114075327,0.115096363070806,0.0978622656620866,50.2918306368405,2.979,"lowtide","Gandoca-Manzanillo","samples"
"66",9,0.0990335157198958,0.106967617505193,0.093764123116625,47.3128024654214,2.474,"lowtide","Gandoca-Manzanillo","samples"
"67",10,0.0938541097453656,0.0990424287144035,0.0889273022886648,44.8383653016003,1.507,"lowtide","Gandoca-Manzanillo","samples"
"68",11,0.0906991366083967,0.0959504797985826,0.0855841191965003,43.3310915294027,2.324,"lowtide","Gandoca-Manzanillo","samples"
"69",12,0.0858354914929649,0.0903430316183769,0.0803048296640354,41.0075076503936,1.444,"lowtide","Gandoca-Manzanillo","samples"
"70",13,0.0828125731172771,0.0866348973952576,0.0798017501259486,39.5633224274583,1.984,"lowtide","Gandoca-Manzanillo","samples"
"71",14,0.0786588072972423,0.0816877692716927,0.0748109518244272,37.5788800868796,0.763,"lowtide","Gandoca-Manzanillo","samples"
"72",15,0.07706155464583,0.0801876071993573,0.0738290078392541,36.8158000464074,1.521,"lowtide","Gandoca-Manzanillo","samples"
"73",16,0.0738782547303541,0.0770281813946554,0.0701590239343351,35.2949932872585,0.742,"lowtide","Gandoca-Manzanillo","samples"
"74",17,0.0723261340436311,0.0764610717893112,0.0692893854744726,34.553474833434,0.86,"lowtide","Gandoca-Manzanillo","samples"
"75",18,0.0705256059785548,0.073196661746462,0.0685176502908001,33.6932809075983,0.889,"lowtide","Gandoca-Manzanillo","samples"
"76",19,0.0686648488403201,0.0722971469762101,0.0653439373478982,32.804312821618,1.22,"lowtide","Gandoca-Manzanillo","samples"
"77",20,0.0661108886644033,0.0687290214770465,0.0635650361876884,31.5841702019268,0.682,"lowtide","Gandoca-Manzanillo","samples"
"78",21,0.0646835083456779,0.067024202439535,0.0619574474280939,30.9022458799235,0.589,"lowtide","Gandoca-Manzanillo","samples"
"79",22,0.0634511792444654,0.0658146170786958,0.0606363494211831,30.3135063717457,0.732,"lowtide","Gandoca-Manzanillo","samples"
"80",23,0.0619186813232302,0.0636289840110478,0.0595865393460859,29.5813626030528,0.62,"lowtide","Gandoca-Manzanillo","samples"
"81",24,0.0606200505396736,0.0631732738449017,0.0581934884236981,28.9609477738781,0.652,"lowtide","Gandoca-Manzanillo","samples"
"82",25,0.0592561385437454,0.061987438397217,0.0573112019380877,28.3093451484994,0.325,"lowtide","Gandoca-Manzanillo","samples"
"83",26,0.0585765846433769,0.0601312501568464,0.0569885046882368,27.9846914267868,0.513,"lowtide","Gandoca-Manzanillo","samples"
"84",27,0.0575020329065607,0.0590891476621947,0.056065424894841,27.4713293221166,0.435,"lowtide","Gandoca-Manzanillo","samples"
"85",28,0.0565908245079227,0.0582752977197769,0.0554034145894366,27.0360037390935,0.661,"lowtide","Gandoca-Manzanillo","samples"
"86",29,0.0552078287761487,0.0566872064894768,0.0534708154343763,26.3752839474927,0.537,"lowtide","Gandoca-Manzanillo","samples"
"87",30,0.0540832187860426,0.0561545686570083,0.0519138754936648,25.8380067446614,NA,"lowtide","Gandoca-Manzanillo","samples"
