Country,Locality,Site,Strata,Ascophyllum.nodosum,Chondrus.crispus,Clathromorphum,Corallina.officinalis,Fucus.distichus,Hildenbrandia,Mytilus.edulis,Semibalanus.balanoides,Vertebrata.lanosa,Didemnum.vexillum,Dumontia.contorta,Dynamena,Mastocarpus.stellatus,Palmaria.palmata,Polysiphonia,Porphyra,Ulva.intestinalis,Ulva.lactuca,Ceramium,Chaetomorpha,Modiolus.modiolus,Ralfsia,Acrosiphonia,Bangia,Botrylloides.violaceus,Botryllus.schlosseri,Cladophora,Diadumene.lineata,Fucus.spiralis,Fucus.vesiculosus,Metridium.senile,Obelia.bidentata,Spirorbis,Ulva.linza
USA,Maine,Grindstone201719,midtide,,,,,20,45,,40,15,,,50,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201720,midtide,,,,,10,85,,,,,,75,,,,,,,,,,,,,,,,,,,,2,,
USA,Maine,Grindstone201721,midtide,,,,,,100,,5,,,15,90,5,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201722,midtide,,,,,,100,,30,,,10,25,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201723,midtide,,2,,,,100,,75,,,,50,2,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201724,midtide,,15,10,5,,40,15,10,5,5,,60,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201805,hightide,,,,,,10,,68,,,,20,,,1,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201805,hightide,,,,,,,1,68,,,,87,,,,,,,,,,,,,,,,,,30,,,,
USA,Maine,Grindstone201805,hightide,,,,,,,,20,,,,28,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201805,hightide,,,,,,1,3,50,,,,35,1,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201805,hightide,,,,,,15,,60,,5,,20,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201805,midtide,,,,,,,,90,,,,9,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201805,midtide,,,,,,30,,70,30,,,12,,,1,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201805,midtide,,,,,,65,,35,,50,,10,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201805,midtide,,2,,,,100,,25,,50,,5,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201805,midtide,,,,,,98,,40,,12,,6,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201805,midtide,,1,,,,30,,70,12,1,,40,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201808,hightide,,,,,,,,95,,,,82,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201808,hightide,,,,,,,,90,,,,82,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201808,hightide,,,,,,4,5,72,,,,58,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201808,hightide,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201808,hightide,,,,,,,,94,,,,96,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201808,midtide,,,,,,,,85,,,,98,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201808,midtide,,,,,,25,,80,,,,88,,,20,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201808,midtide,,,,,,70,,60,,,,92,,,25,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201808,midtide,,,,,,40,,75,,,,84,,,35,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201808,midtide,,,,,,30,,82,,,,92,,,15,,,,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,hightide,,,4,2,,4,,,,,,24,80,,,1,1,2,,,2,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,hightide,,,6,4,,5,,,,6,,7,20,,,,6,3,,1,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,hightide,,6,5,,,,,,,6,,20,16,,,,,6,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,hightide,,,,,,6,,,,,,4,,,1,,1,,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,hightide,8,,,1,,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,midtide,16,,,,,,,,,,,12,14,,1,,,,1,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,midtide,26,4,1,,,5,,,1,,,8,10,,,,,1,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,midtide,24,6,2,,,,,,,,,18,35,,,,,,,,4,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,midtide,,,25,9,,,,,,,4,48,40,,,,,5,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,midtide,,,,40,,,,,,,,16,24,,,,4,1,,,,,,,,,,,,,,,,
