Country,Locality,Site,Strata,Chthamalus bisinuatus,Amphiroa,Centroceras clavulatum,Asteronema breviarticulatum,Echinolittorina lineolata,Ceramiaceae,Fissurella rosea,Isognomon bicolor,Lithophyllum,Lottia subrugosa,Gelidium pusillum,Mytilaster solisianus,Petaloconchus varians,Tetraclita stalactifera,Ulva lactuca,Willeella brachyclados,Cyanophyceae,Colpomenia sinuosa,Bunodosoma caissarum,Chaetomorpha antennina,Peyssonnelia,Stramonita haemastoma,Perna perna,Echinometra lucunter,Eriphia gonagra,Sargassum vulgare,Spyridia filamentosa,Phragmatopoma lapidosa,Jania,Laurencia obtusa
Brazil,Arraial do Cabo,Fortaleza,lowtide,1,,,0,,,,0,,2,,18,,58,,,16,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,9,1,16,,0,,2,3,,5,1,1,50,0,,7,2,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,21,,,,,,,,,1,,0,,,,1,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,46,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,35,,0,,,,,,,,,3,,0,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,27,,,,,,,1,,,,2,1,,0,0,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,16,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,53,,,,,,,,,,,17,,,,0,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,32,,,,,,,,,,,7,,,2,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,27,,,,1,,,,,,,0,,1,71,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,59,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,43,,,,,,,,,,,1,,0,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,midtide,52,,,,,,,,,,,29,,0,13,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,midtide,51,,,,,,,,,,,15,,2,17,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,midtide,51,,,,,,,,,,,7,,1,9,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,midtide,67,,,,,,,,,1,,6,,2,14,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,midtide,61,,,,1,,,,,,,11,,,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,midtide,25,,,6,,,,,,1,,2,,3,9,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,midtide,50,,,0,,,,,,,,7,,,7,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,midtide,39,,1,,,,,,,2,,3,,2,6,0,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,midtide,37,,,,,,,,,3,,4,,5,3,0,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,midtide,61,,,,,,,,,,,10,,2,3,4,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,lowtide,33,,,,,,,,,,,0,,0,21,14,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,lowtide,47,,,,,,,,,1,,1,,5,4,5,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,lowtide,20,,,,,,,,,1,,7,,1,7,8,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,lowtide,12,,,,,,,,,,,6,,1,42,10,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,lowtide,2,,,4,,,,,,1,,0,,1,12,38,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,lowtide,5,,,3,,,,,,,,0,,0,13,58,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,lowtide,21,,,,,,,,,,,,,3,9,54,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,lowtide,11,,,3,,,,,,1,,0,,1,22,36,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,lowtide,3,,,14,,,,,,1,,,,0,16,37,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,lowtide,3,,,,,,,,,,,1,,2,59,4,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,83,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,75,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,92,,,,1,,,,,,,4,,1,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,77,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,78,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,58,,,,,,,,,3,,23,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,38,,,,1,,,,,,,38,,10,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,46,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,53,,,,2,,,,,,,10,,,3,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,61,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,33,,,,,,,5,,,,54,,3,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,4,,,,,,,,,1,,76,,7,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,31,,,,2,,,,,1,,55,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,62,,,,2,,,,,,,7,,13,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,51,,,,,,,,,1,,34,,6,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,,3,,6,,13,,,3,,3,,,38,,,,,1,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,,,,6,,,,1,2,,1,,,63,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,,1,,22,,3,,,6,,,,,31,,,,,,,,,2,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,2,,,10,,1,,2,1,,5,,2,40,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,1,,,5,,,,1,,,,4,,49,,,,,,,,,,1,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,,,1,1,,,,2,,,,16,,58,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,,,,,,,,3,,,,,,69,,,,,,,,,3,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,3,,,6,,,,,,1,,7,,59,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,2,1,,19,,,,4,,,,,1,35,,,,,,,,,6,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,2,,,4,,,2,,2,,,2,,57,,,,,,,,,3,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,55,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,70,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,64,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,38,,,,4,,,,,,,6,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,46,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,82,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,55,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,94,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,60,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,22,,,,,,,1,,,,65,,5,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,35,,,,,,,,,1,,57,,5,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,35,,,,,,,,,,,51,,,,,,,,,,,,4,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,23,,,,,,,,,,,64,,4,0,,,,,,,,,2,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,23,,,,,,,,,,,73,,0,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,13,,,,,,,,,,,86,,,0,,,,,,,,,1,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,32,,,,,,,0,,,,66,0,1,0,,,,,,,,,1,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,20,,,,,,,,,,,75,,0,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,35,,,,,,,,,,,50,0,0,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,24,,,,,,,,,1,,66,,,,,,,,,,,,2,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,0,,,,2,,,,,,,0,1,53,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,,,,,,,2,,1,,1,3,60,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,,2,,,,1,6,17,,8,,1,44,0,,,,,5,3,,,,,0,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,6,,1,,,,,1,,8,2,1,0,71,,,,,,0,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,,,,1,,,0,,5,0,2,,52,,,,,,,1,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,2,1,,2,,,3,2,3,,4,,66,0,1,,,,2,2,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,0,,,,,1,2,0,4,1,8,1,57,0,,5,,,0,0,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,6,3,,,,,8,0,1,8,11,0,48,2,2,,,,2,1,,,,1,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,4,,,,,,3,1,2,5,,1,50,,,15,,,1,3,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,2,,0,,,,,3,,1,5,4,1,69,,,5,,,,1,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,65,,,,,,,,,,,3,,0,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,78,,,,,,,2,,1,,6,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,66,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,37,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,25,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,26,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,21,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,47,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,24,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,11,8,,,,0,,0,1,,,0,,69,0,,,,,0,,,,,,1,,0,,
Brazil,Arraial do Cabo,Atalaia,hightide,50,1,,,,,,0,,,,5,0,35,,,,,,0,,,,,,,2,,,
Brazil,Arraial do Cabo,Atalaia,hightide,42,,,,,1,,1,2,,8,13,1,20,1,,,,,,,,0,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,57,,,,,,,,,,,35,0,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,67,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,70,,,,,,,,,,,28,,1,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,38,,,,,4,,,,3,,5,,7,1,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,49,,,,,1,,2,,,,8,,0,4,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,36,,,,,,,,,2,,10,,5,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,48,,,,,,,,,2,,1,,4,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,,6,,,,,,3,,,,,,56,2,,,,,0,,,,,,1,8,,,
Brazil,Arraial do Cabo,Atalaia,hightide,,13,,,,13,,,2,1,4,,0,36,0,,,,,0,,,0,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,,0,,,,4,,1,5,,11,,1,29,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,3,1,,,,,,1,4,,1,4,0,28,0,,,,,,,,,,,,6,,,
Brazil,Arraial do Cabo,Atalaia,hightide,0,2,,,,,,1,1,,,0,0,44,,,,,,,,,,,,,2,,,
Brazil,Arraial do Cabo,Atalaia,hightide,11,7,,,,2,,,,1,,2,,29,,,,,,1,,,1,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,,11,,2,,3,,,0,,0,0,,15,,,,,,0,,,17,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,4,1,,,,,,,,2,1,2,,15,,,,,,,,,1,,,,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,6,1,,,,1,,0,,2,,2,,10,,,,,,0,,1,,,,0,,,,
Brazil,Arraial do Cabo,Atalaia,hightide,4,6,,,,6,,,1,1,,1,0,1,,,,,,0,,1,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,76,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,68,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,54,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,59,,,,4,,,,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,53,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,27,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,70,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,78,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,65,,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,hightide,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,26,,,2,1,,1,,0,5,,12,0,45,,,,,,,,,2,1,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,28,,,,,,,1,,2,,28,1,12,,1,,,,,,,0,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,41,,,,,,,0,,1,,35,,11,,0,,,,0,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,20,,,,1,,,0,,1,,53,,2,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,41,,,,2,,,3,0,,1,39,0,1,,,,,,,,,0,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,,,,5,,,,,,1,4,8,1,45,,,,,,,,,1,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,25,,,,,,,,,2,,63,,6,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,,,,8,,,,0,,,3,1,,49,,,,,,0,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,58,,,,,,,,,,,26,,1,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,midtide,10,,,0,3,,,,,6,2,,,34,,,,,,,,,,,,,0,,,
Brazil,Arraial do Cabo,Prainha,lowtide,1,0,,5,,,,,6,,20,0,0,51,,4,,,,0,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,,4,,26,,,1,2,29,1,0,2,0,24,0,,,,,,,,,,,,,,0,
Brazil,Arraial do Cabo,Prainha,lowtide,,,,6,,,,1,,1,15,2,0,49,,5,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,,,,17,,,,4,17,,,,3,22,,,,,,,,,1,1,,,,,21,3
Brazil,Arraial do Cabo,Prainha,lowtide,,,,3,1,,,,,4,8,11,0,58,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,,,,14,,,1,7,22,,6,,1,36,,,,,,0,,,7,,,,,,4,0
Brazil,Arraial do Cabo,Prainha,lowtide,,,,,,,,3,1,3,,7,0,73,0,,,,,,,,5,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,,,,1,,,,3,1,1,2,30,4,43,,,,,,,,,2,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,,,,3,,,1,6,2,1,18,3,0,53,,1,,,,,,,8,,,,,,,
Brazil,Arraial do Cabo,Prainha,lowtide,,,,12,,,,2,1,1,6,1,,56,,,,,,,,,5,,,,,,1,
