Country,Locality,Site,Strata,Chthamalus bisinuatus,Tetraclita stalactifera,Mytilaster solisianus,Isognomon bicolor,Zoanthus sociatus,Zoanthus pulchellus ,Palythoa tuberculosa,Colpophyllia natans,Actinostella flosculifera,Monanchora,Cliona celata,Bostrychia tenella,Corallina panizzoi,Porolithon onkodes ,Dictyosphaeria versluysii,Colpomenia sinuosa,Padina gymnospora,Lobophora variegata,Anadyomene stellata,Hildenbrandia rubra,Gelidiella acerosa,Dictyopteris plagiogramma,Chaetomorpha antennina,Caulerpa racemosa,Dictyota,Plocamium brasiliense,Sargassum,Ochtodes secundiramea,Halimeda cuneata,Caulerpa sertularioides,Ulva,Ochtodes secundiramea
Brazil,APA Costa das Algas,Enseada das Garças,midtide,0,0,0,0,5,0,1,1,0,1,0,0,8,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Enseada das Garças,midtide,0,0,0,0,8,0,2,2,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Enseada das Garças,midtide,0,0,0,0,8,0,2,1,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Enseada das Garças,midtide,0,0,0,0,17,1,1,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Enseada das Garças,midtide,0,0,0,0,17,0,1,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Enseada das Garças,midtide,0,0,0,0,7,3,1,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Enseada das Garças,midtide,0,0,0,0,4,0,4,2,0,0,0,0,10,3,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0
Brazil,APA Costa das Algas,Enseada das Garças,midtide,0,0,0,0,28,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Enseada das Garças,lowtide,0,0,0,0,0,4,4,0,0,0,0,0,9,5,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,5,0
Brazil,APA Costa das Algas,Enseada das Garças,lowtide,0,0,0,0,0,0,1,0,0,0,0,0,3,11,0,0,0,2,0,0,0,2,0,0,0,0,45,0,0,0,0,0
Brazil,APA Costa das Algas,Enseada das Garças,lowtide,0,0,0,0,1,0,3,1,0,0,0,0,11,2,0,0,0,2,0,0,2,2,0,0,0,0,10,0,0,0,3,0
Brazil,APA Costa das Algas,Enseada das Garças,lowtide,0,0,0,0,1,2,3,0,0,0,0,0,9,11,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2,0
Brazil,APA Costa das Algas,Enseada das Garças,lowtide,0,0,0,0,0,0,2,1,0,0,0,0,2,9,0,0,0,5,0,0,0,0,0,0,0,0,41,0,0,0,3,2
Brazil,APA Costa das Algas,Enseada das Garças,lowtide,0,0,0,0,0,9,3,1,0,0,0,0,8,4,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Brazil,APA Costa das Algas,Enseada das Garças,lowtide,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,45,0,0,0,2,0
Brazil,APA Costa das Algas,Enseada das Garças,lowtide,0,0,0,0,0,3,1,2,0,0,0,0,7,1,0,0,1,1,0,0,0,0,0,0,0,0,31,0,0,0,3,1
Brazil,APA Costa das Algas,Enseada das Garças,lowtide,0,0,0,0,0,0,2,0,0,0,0,0,5,7,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0
Brazil,APA Costa das Algas,Enseada das Garças,lowtide,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,3,0,0,0,0,0,0,0,0,24,0,0,0,4,0
Brazil,APA Costa das Algas,Costa Bela,hightide,5,4,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,hightide,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,hightide,1,1,4,2,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,hightide,4,3,1,1,1,0,0,0,0,0,0,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,hightide,7,1,1,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,hightide,13,3,2,0,0,0,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,hightide,12,9,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,hightide,88,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,hightide,12,13,1,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,hightide,12,8,0,2,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,midtide,0,0,0,0,11,0,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,midtide,0,0,0,0,6,0,64,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,midtide,0,0,0,0,71,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,midtide,0,0,0,2,13,0,65,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,midtide,0,0,0,1,50,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,midtide,0,0,0,2,11,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,midtide,0,0,0,1,5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,midtide,0,0,0,0,14,0,73,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,midtide,0,0,0,0,9,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,midtide,0,0,0,0,17,0,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,lowtide,0,0,0,0,25,0,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,lowtide,0,0,0,0,5,0,39,1,0,0,0,0,2,2,1,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,lowtide,0,0,0,0,6,0,46,0,0,0,0,0,10,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,lowtide,0,0,0,0,2,0,9,1,0,0,0,0,3,4,0,0,0,0,2,2,0,0,0,0,0,0,45,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,lowtide,0,0,0,0,17,0,22,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,lowtide,0,0,0,0,12,2,19,1,0,0,0,0,10,4,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,lowtide,0,0,0,0,18,3,35,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,lowtide,0,0,0,0,11,0,13,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,30,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,lowtide,0,0,0,0,15,0,18,1,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
Brazil,APA Costa das Algas,Costa Bela,lowtide,0,0,0,0,7,2,27,0,0,0,0,0,5,2,1,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0
