"","Country","Locality","Site","Strata","Mytilaster solisianus","Jania","Padina gymnospora","Peyssonnelia","Lithophyllum","Ceramiaceae","Colpomenia sinuosa","Gelidiella acerosa","Cyanophyceae","Amphiroa","Ulva lactuca","Grapsus grapsus","Petaloconchus varians","Zoanthus sociatus","Caulerpa racemosa"
"27","BRAZIL","FERNANDODENORONHA","AIRFRANCE","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","BRAZIL","FERNANDODENORONHA","AIRFRANCE","midtide",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"29","BRAZIL","FERNANDODENORONHA","AIRFRANCE","midtide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","BRAZIL","FERNANDODENORONHA","AIRFRANCE","midtide",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"31","BRAZIL","FERNANDODENORONHA","BOLDRO","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","BRAZIL","FERNANDODENORONHA","BOLDRO","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","BRAZIL","FERNANDODENORONHA","BOLDRO","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","BRAZIL","FERNANDODENORONHA","BOLDRO","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","BRAZIL","FERNANDODENORONHA","BOLDRO","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","BRAZIL","FERNANDODENORONHA","BOLDRO","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","BRAZIL","FERNANDODENORONHA","BOLDRO","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","BRAZIL","FERNANDODENORONHA","BOLDRO","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","BRAZIL","FERNANDODENORONHA","BOLDRO","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","BRAZIL","FERNANDODENORONHA","BOLDRO","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","BRAZIL","FERNANDODENORONHA","BOLDRO","lowtide",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"42","BRAZIL","FERNANDODENORONHA","BOLDRO","lowtide",1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"43","BRAZIL","FERNANDODENORONHA","BOLDRO","lowtide",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"44","BRAZIL","FERNANDODENORONHA","BOLDRO","lowtide",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"45","BRAZIL","FERNANDODENORONHA","BOLDRO","lowtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","BRAZIL","FERNANDODENORONHA","BOLDRO","lowtide",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"47","BRAZIL","FERNANDODENORONHA","BOLDRO","lowtide",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"48","BRAZIL","FERNANDODENORONHA","BOLDRO","lowtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","BRAZIL","FERNANDODENORONHA","BOLDRO","lowtide",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"50","BRAZIL","FERNANDODENORONHA","BOLDRO","lowtide",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"51","BRAZIL","FERNANDODENORONHA","BOLDRO","midtide",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"52","BRAZIL","FERNANDODENORONHA","BOLDRO","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","BRAZIL","FERNANDODENORONHA","BOLDRO","midtide",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"54","BRAZIL","FERNANDODENORONHA","BOLDRO","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","BRAZIL","FERNANDODENORONHA","BOLDRO","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","BRAZIL","FERNANDODENORONHA","BOLDRO","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","BRAZIL","FERNANDODENORONHA","BOLDRO","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","BRAZIL","FERNANDODENORONHA","BOLDRO","midtide",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"59","BRAZIL","FERNANDODENORONHA","BOLDRO","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","BRAZIL","FERNANDODENORONHA","BOLDRO","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","BRAZIL","FERNANDODENORONHA","CAIEIRAS","hightide",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"62","BRAZIL","FERNANDODENORONHA","CAIEIRAS","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","BRAZIL","FERNANDODENORONHA","CAIEIRAS","hightide",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"64","BRAZIL","FERNANDODENORONHA","CAIEIRAS","hightide",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"65","BRAZIL","FERNANDODENORONHA","CAIEIRAS","hightide",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"66","BRAZIL","FERNANDODENORONHA","CAIEIRAS","hightide",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"67","BRAZIL","FERNANDODENORONHA","CAIEIRAS","hightide",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"68","BRAZIL","FERNANDODENORONHA","CAIEIRAS","hightide",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"69","BRAZIL","FERNANDODENORONHA","CAIEIRAS","lowtide",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"70","BRAZIL","FERNANDODENORONHA","CAIEIRAS","lowtide",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"71","BRAZIL","FERNANDODENORONHA","CAIEIRAS","lowtide",0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
"72","BRAZIL","FERNANDODENORONHA","CAIEIRAS","lowtide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"73","BRAZIL","FERNANDODENORONHA","CAIEIRAS","lowtide",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"74","BRAZIL","FERNANDODENORONHA","CAIEIRAS","lowtide",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"75","BRAZIL","FERNANDODENORONHA","CAIEIRAS","lowtide",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"76","BRAZIL","FERNANDODENORONHA","CAIEIRAS","lowtide",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"77","BRAZIL","FERNANDODENORONHA","CAIEIRAS","lowtide",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"78","BRAZIL","FERNANDODENORONHA","CAIEIRAS","lowtide",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"79","BRAZIL","FERNANDODENORONHA","CAIEIRAS","midtide",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"80","BRAZIL","FERNANDODENORONHA","CAIEIRAS","midtide",1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"81","BRAZIL","FERNANDODENORONHA","CAIEIRAS","midtide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"82","BRAZIL","FERNANDODENORONHA","CAIEIRAS","midtide",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"83","BRAZIL","FERNANDODENORONHA","CAIEIRAS","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","BRAZIL","FERNANDODENORONHA","CAIEIRAS","midtide",0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
"85","BRAZIL","FERNANDODENORONHA","CAIEIRAS","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","BRAZIL","FERNANDODENORONHA","CAIEIRAS","midtide",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"87","BRAZIL","FERNANDODENORONHA","LEAO","hightide",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"88","BRAZIL","FERNANDODENORONHA","LEAO","hightide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"89","BRAZIL","FERNANDODENORONHA","LEAO","hightide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"90","BRAZIL","FERNANDODENORONHA","LEAO","hightide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"91","BRAZIL","FERNANDODENORONHA","LEAO","hightide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"92","BRAZIL","FERNANDODENORONHA","LEAO","hightide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"93","BRAZIL","FERNANDODENORONHA","LEAO","hightide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"94","BRAZIL","FERNANDODENORONHA","LEAO","hightide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"95","BRAZIL","FERNANDODENORONHA","LEAO","hightide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"96","BRAZIL","FERNANDODENORONHA","LEAO","hightide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"97","BRAZIL","FERNANDODENORONHA","LEAO","lowtide",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"98","BRAZIL","FERNANDODENORONHA","LEAO","lowtide",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"99","BRAZIL","FERNANDODENORONHA","LEAO","lowtide",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"100","BRAZIL","FERNANDODENORONHA","LEAO","lowtide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"101","BRAZIL","FERNANDODENORONHA","LEAO","lowtide",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"102","BRAZIL","FERNANDODENORONHA","LEAO","lowtide",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"103","BRAZIL","FERNANDODENORONHA","LEAO","lowtide",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"104","BRAZIL","FERNANDODENORONHA","LEAO","lowtide",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"105","BRAZIL","FERNANDODENORONHA","LEAO","lowtide",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"106","BRAZIL","FERNANDODENORONHA","LEAO","lowtide",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"107","BRAZIL","FERNANDODENORONHA","LEAO","midtide",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"108","BRAZIL","FERNANDODENORONHA","LEAO","midtide",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"109","BRAZIL","FERNANDODENORONHA","LEAO","midtide",0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
"110","BRAZIL","FERNANDODENORONHA","LEAO","midtide",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"111","BRAZIL","FERNANDODENORONHA","LEAO","midtide",0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
"112","BRAZIL","FERNANDODENORONHA","LEAO","midtide",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"113","BRAZIL","FERNANDODENORONHA","LEAO","midtide",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"114","BRAZIL","FERNANDODENORONHA","LEAO","midtide",0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
"115","BRAZIL","FERNANDODENORONHA","LEAO","midtide",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"116","BRAZIL","FERNANDODENORONHA","LEAO","midtide",0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
