Country,Locality,Site,Strata,dummy,Padina mexicana,Derbesia sp.,Cladophoropsis adhaerens,Valonia sp.,Ceramium sp.,Bostrychia radicans,Jania sp.,Corallinaceae sp.,Amphiroa sp.,Lithophyllum sp.,Lithothamnion sp.,Gelidium sp.,Hypnea sp.,Verrucaria sp.,Desmanthus sp.,Phragmatopoma sp.
Colombia,Isla Gorgona,La Ventana,lowtide,1,,,71,,11,,,,,1,,,,2,,
Colombia,Isla Gorgona,La Ventana,lowtide,1,,,41,,10,,,,,,1,,,1,1,
Colombia,Isla Gorgona,La Ventana,lowtide,1,,,32,,,,,,,,,,,65,,
Colombia,Isla Gorgona,Playa Verde,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,Playa Verde,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,Playa Verde,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,Playa Verde,hightide,1,,,1,,,,,,,,,,,,,
Colombia,Isla Gorgona,Playa Verde,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,Playa Verde,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,Playa Verde,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,Playa Verde,hightide,1,,,2,,,,,,,,,,,,,
Colombia,Isla Gorgona,Playa Verde,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,Playa Verde,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,Playa Verde,midtide,1,,,,,,,,,,2,,,,,,48
Colombia,Isla Gorgona,Playa Verde,midtide,1,,,,,,,,,,,,,,,,2
Colombia,Isla Gorgona,Playa Verde,midtide,1,,,,,,,,,,,,,,,,86
Colombia,Isla Gorgona,Playa Verde,midtide,1,,,21,,,,,,,26,,,,8,,6
Colombia,Isla Gorgona,Playa Verde,midtide,1,,,,,,,,,,7,,,,6,,5
Colombia,Isla Gorgona,Playa Verde,midtide,1,,,,,,,,,,,,,,1,,
Colombia,Isla Gorgona,Playa Verde,midtide,1,,,,,,,,,,12,,,,4,,8
Colombia,Isla Gorgona,Playa Verde,midtide,1,,,,,,,,,,6,,,,19,,25
Colombia,Isla Gorgona,Playa Verde,midtide,1,,,,,,,,,,5,,,,2,,28
Colombia,Isla Gorgona,Playa Verde,midtide,1,,,,,,,,,,5,,,,14,,16
Colombia,Isla Gorgona,Playa Verde,lowtide,1,,,,,,,,,,3,,,,20,,
Colombia,Isla Gorgona,Playa Verde,lowtide,1,,,,,,,,,,,,,,35,,1
Colombia,Isla Gorgona,Playa Verde,lowtide,1,,,,,,,,,,1,,,,40,,
Colombia,Isla Gorgona,Playa Verde,lowtide,1,,,,,,,,,11,1,,,,16,,
Colombia,Isla Gorgona,Playa Verde,lowtide,1,,,,,,,,,4,5,,,,3,,1
Colombia,Isla Gorgona,Playa Verde,lowtide,1,,,,,,,,,1,7,,,,13,,
Colombia,Isla Gorgona,Playa Verde,lowtide,1,,,,,,,,,,2,,,,59,,
Colombia,Isla Gorgona,Playa Verde,lowtide,1,,,,,,,,,,5,,,,58,,
Colombia,Isla Gorgona,Playa Verde,lowtide,1,,,,,,,,,,1,,,,78,,
Colombia,Isla Gorgona,Playa Verde,lowtide,1,,,,,,,,,,2,,,,64,,
Colombia,Isla Gorgona,La Mancora,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,hightide,1,,,2,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,hightide,1,,,1,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,midtide,1,,,,,,,,,,1,,,,1,,
Colombia,Isla Gorgona,La Mancora,midtide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,midtide,1,,,,,,,,,,1,,,,4,,
Colombia,Isla Gorgona,La Mancora,midtide,1,,,,,,,,,,2,,,,1,,
Colombia,Isla Gorgona,La Mancora,midtide,1,,,,,,,,,,1,,,,1,,
Colombia,Isla Gorgona,La Mancora,midtide,1,,,,,,,,,,,,,,1,,
Colombia,Isla Gorgona,La Mancora,midtide,1,,,,,,,,,,,,,,20,,
Colombia,Isla Gorgona,La Mancora,midtide,1,,,,,,,,,,24,,,,1,,
Colombia,Isla Gorgona,La Mancora,midtide,1,,,,,,,,,,3,,,,4,,
Colombia,Isla Gorgona,La Mancora,midtide,1,,,9,,,,,,,45,,,,5,,
Colombia,Isla Gorgona,La Mancora,lowtide,1,,,,,,,,,,,,,,85,,
Colombia,Isla Gorgona,La Mancora,lowtide,1,,,14,,2,,,,,,,,,,,
Colombia,Isla Gorgona,La Mancora,lowtide,1,,,19,1,4,,,,1,5,,,,2,,
Colombia,Isla Gorgona,La Mancora,lowtide,1,,,,,9,,,,,,,,,3,,
Colombia,Isla Gorgona,La Mancora,lowtide,1,,,,,,,,,,,,,,50,,
Colombia,Isla Gorgona,La Mancora,lowtide,1,,,,,,,,,2,,,,,32,,
Colombia,Isla Gorgona,La Mancora,lowtide,1,,,,,,,,,,12,,,,3,,
Colombia,Isla Gorgona,La Mancora,lowtide,1,,,,,,,,,,2,,,,3,,
Colombia,Isla Gorgona,La Mancora,lowtide,1,,,,,11,,,,11,,,,,,,
Colombia,Isla Gorgona,La Mancora,lowtide,1,,,,,,,,,,,,,,65,,
