"","Country","Locality","Site","Strata","Lottia","Littorina littorea","Echinolittorina lineolata","Chthamalus bisinuatus","Tetraclita stalactifera","Mytilaster solisianus","Bostrychia tenella","Fissurella","Pachygrapsus transversus","Isognomon bicolor","Zoanthus sociatus","Porolithon onkodes","Paguroidea","Palythoa tuberculosa","Colpophyllia natans","Corallina panizzoi","Dictyosphaeria versluysii","Hildenbrandia rubra","Sargassum","Echinometra lucunter","Anadyomene stellata","Zoanthus pulchellus","Lobophora variegata","Ulva","Dictyopteris plagiogramma","Gelidiella acerosa","Padina gymnospora","Omalacantha bicornuta","Cliona celata","Actinostella flosculifera","Monanchora","Chaetomorpha antennina","Dictyota","Plocamium brasiliense","Colpomenia sinuosa","Ochtodes secundiramea","Halimeda cuneata","Caulerpa sertularioides","Caulerpa racemosa"
"13","BRAZIL","APACOSTADASALGAS","COSTABELA","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","BRAZIL","APACOSTADASALGAS","COSTABELA","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","BRAZIL","APACOSTADASALGAS","COSTABELA","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","BRAZIL","APACOSTADASALGAS","COSTABELA","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","BRAZIL","APACOSTADASALGAS","COSTABELA","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","BRAZIL","APACOSTADASALGAS","COSTABELA","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","BRAZIL","APACOSTADASALGAS","COSTABELA","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","BRAZIL","APACOSTADASALGAS","COSTABELA","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","BRAZIL","APACOSTADASALGAS","COSTABELA","midtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","BRAZIL","APACOSTADASALGAS","COSTABELA","midtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","BRAZIL","APACOSTADASALGAS","COSTABELA","midtide",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","BRAZIL","APACOSTADASALGAS","COSTABELA","midtide",0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","BRAZIL","APACOSTADASALGAS","COSTABELA","midtide",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","BRAZIL","APACOSTADASALGAS","COSTABELA","midtide",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","BRAZIL","APACOSTADASALGAS","COSTABELA","midtide",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","BRAZIL","APACOSTADASALGAS","COSTABELA","midtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","BRAZIL","APACOSTADASALGAS","COSTABELA","midtide",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","BRAZIL","APACOSTADASALGAS","COSTABELA","midtide",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","hightide",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","hightide",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","hightide",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","hightide",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","hightide",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","hightide",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","hightide",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","hightide",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","hightide",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","hightide",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"49","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","midtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"52","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","midtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"53","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","midtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"54","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","midtide",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","midtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","midtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","midtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","midtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"59","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","midtide",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"60","BRAZIL","APACOSTADASALGAS","ENSEADADASGARCAS","midtide",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","BRAZIL","APACOSTADASALGAS","GRAMUTE","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","BRAZIL","APACOSTADASALGAS","GRAMUTE","hightide",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","BRAZIL","APACOSTADASALGAS","GRAMUTE","hightide",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","BRAZIL","APACOSTADASALGAS","GRAMUTE","hightide",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","BRAZIL","APACOSTADASALGAS","GRAMUTE","hightide",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","BRAZIL","APACOSTADASALGAS","GRAMUTE","hightide",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","BRAZIL","APACOSTADASALGAS","GRAMUTE","hightide",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","BRAZIL","APACOSTADASALGAS","GRAMUTE","hightide",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","BRAZIL","APACOSTADASALGAS","GRAMUTE","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"70","BRAZIL","APACOSTADASALGAS","GRAMUTE","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"71","BRAZIL","APACOSTADASALGAS","GRAMUTE","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","BRAZIL","APACOSTADASALGAS","GRAMUTE","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"73","BRAZIL","APACOSTADASALGAS","GRAMUTE","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"74","BRAZIL","APACOSTADASALGAS","GRAMUTE","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"75","BRAZIL","APACOSTADASALGAS","GRAMUTE","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"76","BRAZIL","APACOSTADASALGAS","GRAMUTE","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"77","BRAZIL","APACOSTADASALGAS","GRAMUTE","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"78","BRAZIL","APACOSTADASALGAS","GRAMUTE","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"79","BRAZIL","APACOSTADASALGAS","GRAMUTE","midtide",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","BRAZIL","APACOSTADASALGAS","GRAMUTE","midtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","BRAZIL","APACOSTADASALGAS","GRAMUTE","midtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","BRAZIL","APACOSTADASALGAS","GRAMUTE","midtide",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"83","BRAZIL","APACOSTADASALGAS","GRAMUTE","midtide",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","BRAZIL","APACOSTADASALGAS","GRAMUTE","midtide",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","BRAZIL","APACOSTADASALGAS","GRAMUTE","midtide",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","BRAZIL","APACOSTADASALGAS","GRAMUTE","midtide",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","BRAZIL","APACOSTADASALGAS","GRAMUTE","midtide",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","BRAZIL","APACOSTADASALGAS","GRAMUTE","midtide",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
