Country,Locality,Site,Strata,Ulva.sp.,Gelidiopsis.sp.,Brown.biofilm,Tetraclita.milleporosa,Zoanthus.cf..sansibaricus,Lithothamnium.sp.,Codium.sp.,Anthopleura.nigrescens,Green.biofilm,dummy1,dummy2
ECUADOR,SANTA CRUZ,RATONERA,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,midtide,,,18,,,,75,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,midtide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,midtide,,,57,,,,20,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,midtide,,,12,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,midtide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,midtide,,,9,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,midtide,,,13,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,midtide,,,4,,,,17,9,,1,1
ECUADOR,SANTA CRUZ,RATONERA,midtide,,,98,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,midtide,,,3,,,,50,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,lowtide,5,,59,,,,32,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,lowtide,,,99,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,lowtide,,,92,6,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,lowtide,,,92,2,,,,2,,1,1
ECUADOR,SANTA CRUZ,RATONERA,lowtide,,,95,,,,,1,,1,1
ECUADOR,SANTA CRUZ,RATONERA,lowtide,,,11,,,,83,1,,1,1
ECUADOR,SANTA CRUZ,RATONERA,lowtide,,,71,,,,17,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,lowtide,,,19,,,,65,3,,1,1
ECUADOR,SANTA CRUZ,RATONERA,lowtide,,,90,2,,,5,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,lowtide,,,13,,,,82,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,midtide,,,99,,,,,1,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,midtide,,2,95,,,1,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,midtide,,,91,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,midtide,,,69,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,midtide,,,87,,,,,,1,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,midtide,,,87,,,,,,5,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,midtide,,1,77,,,1,,,9,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,midtide,,,82,,,,,,11,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,midtide,,,19,,,,,,14,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,midtide,,2,4,,,,,,94,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,lowtide,,,98,1,,1,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,lowtide,,,99,,,1,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,lowtide,,,100,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,lowtide,,,98,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,lowtide,,,90,1,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,lowtide,,,94,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,lowtide,,,100,,,,,,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,lowtide,,,96,1,,,,1,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,lowtide,,,89,,,,,3,,1,1
ECUADOR,SANTA CRUZ,TORTUGA BAY,lowtide,,1,91,,,,,,,1,1
