Country,Locality,Site,Strata,"Balanus glandula Darwin, 1854","Balanus glandula Darwin, 1855",Brachidontes rodriguezii/Brachidontes purpuratus ,Bryopsis australis Sonder,Ceramium sp.,Chaetomorpha sp.,Cladophora sp.,Codium sp.,Colpomenia sinuosa (Mertens ex Roth) Derbés et Solier,Corallina officinalis,Dictyota dichotoma ,Ulva prolifera,Porifera sp1,Leathesia sp.,Myriogloea sp.,Leiosolenus patagonicus,Parabunodactis imperfecta,Phaeophyceae,Phaeophyceae,Polysiphonia sp.,Ralfsia sp. ,Corallinophycidae,Scytosiphon sp.,Polychaeta,Ulva sp.,Undaria pinnatifida
Argentina,Puerto Madryn,Punta Este,hightide,3,,,,,,,,,,,1,,,,,,,,,3,,,,,
Argentina,Puerto Madryn,Punta Este,hightide,1,,,,,,,,,,,32,,,,,,,,,4,,,,,
Argentina,Puerto Madryn,Punta Este,hightide,11,,,,,,,,,,,11,,,,,,,,,17,,,,,
Argentina,Puerto Madryn,Punta Este,hightide,1,,,,,,,,,,,21,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Este,midtide,5,,90,,,,,,,1,,,,,,,,,,,2,,,,,
Argentina,Puerto Madryn,Punta Este,midtide,3,,89,1,,,,,,2,,,,,,,,,,,3,,,,,
Argentina,Puerto Madryn,Punta Este,midtide,1,,96,,,,,,,,,,,,,,,,,,1,,,,,
Argentina,Puerto Madryn,Punta Este,midtide,2,,89,2,,,,,,,,,,,,,,,,,5,,,,,
Argentina,Puerto Madryn,Punta Este,midtide,6,,83,3,,,,,,1,,,,,,,,,,,5,,,,,
Argentina,Puerto Madryn,Punta Este,midtide,2,,85,3,,,,,,2,,,,,,,,,,,5,,,,,
Argentina,Puerto Madryn,Punta Este,midtide,1,,92,1,,,,,,2,,,,,,,,,,,2,,,,,
Argentina,Puerto Madryn,Punta Este,midtide,2,,86,1,,,,,,,,,,,,,,,,,7,,,,,
Argentina,Puerto Madryn,Punta Este,midtide,1,,96,,,,,,,,,,,,,,,,,,2,,,,,
Argentina,Puerto Madryn,Punta Este,midtide,1,,94,1,,,,,,2,,,,,,,,,,,,,,,1,
Argentina,Puerto Madryn,Punta Este,lowtide,,,1,,5,,,,1,60,,6,,,,1,1,6,3,,,,,,10,
Argentina,Puerto Madryn,Punta Este,lowtide,,,1,,1,,,,,58,1,10,,,,1,1,3,8,,,,,,15,
Argentina,Puerto Madryn,Punta Este,lowtide,,,,,2,,,,1,2,,3,,,,1,,,77,,,,,,9,4
Argentina,Puerto Madryn,Punta Este,lowtide,,,,,,,,,1,9,2,3,,,,1,,1,57,,,,,,15,8
Argentina,Puerto Madryn,Punta Este,lowtide,,,1,,,,,,1,9,,3,,1,,,1,1,53,,,,,1,23,4
Argentina,Puerto Madryn,Punta Este,lowtide,,,,,,,,,1,18,1,5,,,,,1,1,51,,,,,,17,1
Argentina,Puerto Madryn,Punta Este,lowtide,,,1,,,,,,1,58,1,10,,1,,1,1,1,9,,,,,1,13,
Argentina,Puerto Madryn,Punta Este,lowtide,,,,,,,,1,,7,,6,,1,,1,,4,16,,,,,1,61,
Argentina,Puerto Madryn,Punta Este,lowtide,,,,,,,,,1,13,,52,,1,,1,1,,13,,1,,,1,14,1
Argentina,Puerto Madryn,Punta Este,lowtide,,,,,,,,,,51,1,24,,,,1,2,5,2,,1,,1,1,7,1
Argentina,Puerto Madryn,Punta Loma,hightide,,,2,,,,,,,,,28,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Loma,hightide,,,1,,,,,,,,,24,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Loma,hightide,,,1,,,,,,,,,9,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Loma,hightide,,,2,,,,,,,,,14,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Loma,hightide,,,2,,,,,,,,,14,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Loma,hightide,,,3,,,,,,,,,24,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Loma,hightide,,,1,,,,,,,,,22,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Loma,hightide,,,1,,,,,,,,,42,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Loma,hightide,,,,,,,,,,,,27,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Loma,hightide,,,1,,,,,,,,,20,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Loma,midtide,1,,80,2,1,,2,,,4,,,,,,,,,,,1,,,,8,
Argentina,Puerto Madryn,Punta Loma,midtide,4,,78,9,,,,,,,,,,,,,,,,,5,,,,3,
Argentina,Puerto Madryn,Punta Loma,midtide,3,,67,4,,,,,,1,,,,,,,,,,,19,,,,3,
Argentina,Puerto Madryn,Punta Loma,midtide,10,,65,3,,,,,,,,1,,,,,,,,,15,,,,2,
Argentina,Puerto Madryn,Punta Loma,midtide,,,90,1,,,1,,,3,,1,,,,,,,,,,,,,1,
Argentina,Puerto Madryn,Punta Loma,midtide,3,,83,3,,,,,,,,,,,,,,,,,4,,,,3,
Argentina,Puerto Madryn,Punta Loma,midtide,1,,87,2,,,2,,,3,,,,,,,,,,,,,,,4,
Argentina,Puerto Madryn,Punta Loma,midtide,1,,94,,,,1,,,2,,,,,,,,,,,,,,,1,
Argentina,Puerto Madryn,Punta Loma,midtide,2,,93,,,,,,,1,,,,,,,,,,,2,,,,1,
Argentina,Puerto Madryn,Punta Loma,midtide,1,,89,3,,,1,,,1,,,,,,,,,,,1,1,,,1,
Argentina,Puerto Madryn,Punta Loma,lowtide,,,,,,,,,1,55,,,,,,,,,,6,1,,1,,29,7
Argentina,Puerto Madryn,Punta Loma,lowtide,,,,,,,,,2,59,,,,,,1,1,,,,2,1,,1,23,7
Argentina,Puerto Madryn,Punta Loma,lowtide,,,1,,,,,,1,52,,2,,1,,,,1,,4,,,1,,37,
Argentina,Puerto Madryn,Punta Loma,lowtide,,,,,,,,,,49,,1,,,,1,,,,5,2,,1,,33,7
Argentina,Puerto Madryn,Punta Loma,lowtide,,,,,,,,,2,71,1,,,,,1,,2,,4,,,,,18,
Argentina,Puerto Madryn,Punta Loma,lowtide,,,,,,,,,1,60,,1,,1,,1,,4,,5,,1,,,24,1
Argentina,Puerto Madryn,Punta Loma,lowtide,,,,,,,,,2,69,,1,,,,1,,,,4,,,,,22,1
Argentina,Puerto Madryn,Punta Loma,lowtide,,,,,,,,,3,59,,,,,,1,,5,,3,1,,1,1,24,1
Argentina,Puerto Madryn,Punta Loma,lowtide,,,,,,,1,,1,64,1,,,,,1,,1,,4,,,,,24,2
Argentina,Puerto Madryn,Punta Loma,lowtide,,,,,,,,,2,64,,,,,,,,2,,4,3,,,1,22,
